struct(file)	field	rust_ownership	zig_allocator	who_frees	notes
AppState(src/app/state.rs)	terminals: HashMap<TerminalId, TerminalState>	owned	gpa (state gpa)	AppState.deinit / remove_terminal	Long-lived session map; values own strings/maps, freed recursively on terminal close.
AppState(src/app/state.rs)	pane_id_aliases: HashMap<u32, PaneId> / public_pane_id_aliases: HashMap<String, PaneId>	owned	gpa	AppState.deinit / alias removal	String keys duped into gpa; freed when alias removed (remove_alias_shadowed_by_new_pane).
AppState(src/app/state.rs)	workspaces: Vec<Workspace>	owned	gpa	AppState.deinit / close_workspace	Workspace.deinit frees tabs, panes, cached git metadata recursively.
AppState(src/app/state.rs)	request_clipboard_write: Option<Vec<u8>>	owned	gpa	consumer (event loop) after handling	Ownership transfer: state hands buffer to App loop; consumer frees, then sets null.
AppState(src/app/state.rs)	name_input / theme_name / update_install_command / default_shell: String	owned	gpa	AppState.deinit / on replace	Small mutable strings; free old value on assignment (no Rust drop to do it).
AppState(src/app/state.rs)	collapsed_space_keys: HashSet<String>	owned	gpa	AppState.deinit	Persisted UI state; keys duped from snapshot load.
AppState(src/app/state.rs)	worktree_create/open/remove: Option<WorktreeCreateState/...>	owned	gpa	AppState on dialog close	Modal dialog state with input Strings and Vec<candidate> lists; freed when modal closes.
AppState(src/app/state.rs)	view: ViewState (workspace_card_areas, tab_hit_areas, pane_infos, split_borders Vecs)	owned	arena-per-frame	frame arena reset	Rebuilt every compute_view(); never outlives a frame. Zig: build into per-frame arena, reset after render.
AppState(src/app/state.rs)	pending_agent_notifications: HashMap<PaneId, PendingAgentNotification>	owned	gpa	AppState on delivery/close	Values contain message Strings.
AppState(src/app/state.rs)	cjk_ime_agents / integration_recommendations / agent_manifest_summaries / integration_install_messages / plugin_command_logs: Vec<...>	owned	gpa	AppState.deinit / on refresh	Config/status caches replaced wholesale; free old Vec + element strings on refresh.
AppState(src/app/state.rs)	installed_plugins: InstalledPluginRegistry	owned	gpa	AppState.deinit	Plugin records own path/name strings.
AppState(src/app/state.rs)	plugin_panes: HashMap<PaneId, PluginPaneRecord>	owned	gpa	AppState on pane close	Must be removed in same mutation as pane close or dangles (UAF-risk pairing).
AppState(src/app/state.rs)	pane_graphics_layers: HashMap<PaneId, PaneGraphicsLayer>	owned	gpa	AppState on layer clear/pane close	PaneGraphicsLayer.data: Vec<u8> is large image payload; free eagerly, not at session end.
AppState(src/app/state.rs)	pane_graphics_streams: HashMap<PaneId, String>	owned	gpa	AppState on stream end	Owner token strings.
AppState(src/app/state.rs)	popup_pane: Option<PopupPaneState>	owned	gpa	AppState on popup close	Session-modal pane state.
AppState(src/app/state.rs)	terminal_runtime_shutdowns: Vec<TerminalId>	owned	gpa	drained by App runtime layer	Handoff queue from pure state to runtime layer; ids are values, Vec reused (clearRetainingCapacity).
PaneGraphicsLayer(src/app/state.rs:21)	data: Vec<u8>	owned	gpa	layer replace / pane close	Image bytes, potentially MBs; replace = free old + dupe new.
Workspace(src/workspace.rs:145)	id / custom_name / cached_git_branch: String	owned	gpa	Workspace.deinit / setter frees old	Identity strings live as long as the workspace.
Workspace(src/workspace.rs:145)	identity_cwd: PathBuf	owned	gpa	Workspace.deinit	Zig: []u8 path dup.
Workspace(src/workspace.rs:145)	cached_git_space: Option<GitSpaceMetadata> / worktree_space: Option<WorktreeSpaceMembership>	owned	gpa	Workspace.deinit / on git refresh	Refresh replaces whole value; free old first.
Workspace(src/workspace.rs:145)	metadata_tokens: MetadataTokens + metadata_token_sequences: HashMap<String, u64>	owned	gpa	Workspace.deinit	Token strings duped per report.
